Nome strumento,Baud rate,Bytes,Cavo per LP-50,Cavo per PC,Connettore strumento,Immagine,Ultimo aggiornamento
ACL,9600,,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/ACL.jpg,17/09/2020 9:30 (GMT+2)
ACS-M,9600,42,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACS-M%200cabd7c4dd5d4cdaa19aba83f1965354/ACS-M.jpg,15/01/2020 16:30 (GMT+1)
AJ / AJH,1200,14 / 15 / 16,,,5 PIN FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AJ%20AJH%20a0b8396ab0ef4e0e8bd9e4cdb99726f1/AJ.jpg,26/06/2019 12:30 (GMT+2)
APC-B,,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/APC-B%208daf5f9bf76c47aca68e437e4a86ab6c/COLLEGAMENTI_E_SALVATAGGIO.txt,,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/APC-B%208daf5f9bf76c47aca68e437e4a86ab6c/APC-B.jpg,13/10/2020 9:00 (GMT+2)
AWX,9600,80,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AWX%2070a2c8aecd10441d8c2328a7a3055c74/M-F_pin-to-pin.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AWX%2070a2c8aecd10441d8c2328a7a3055c74/AWX.jpg,15/05/2019 9:30 (GMT+2)
BABY 02,9600,586,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AWX%2070a2c8aecd10441d8c2328a7a3055c74/M-F_pin-to-pin.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/BABY%2002%20aba19451fcc641a881b6ac776e50e144/BABY_02.jpg,15/05/2019 9:30 (GMT+2)
BILL,9600,85,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/BILL%205bc0806af61c4dd6abd61f0fd1033da2/BILL.jpg,26/07/2019 11:00 (GMT+2)
JSB,9600,72,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/JSB%20f8b9315f6e014b9cb89d110f3de12692/JSB.jpg,15/05/2019 9:30 (GMT+2)
JSC,9600,72,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/JSC%20786a2ac5a0c64ed8be941ed02d95e6a5/JSC.jpg,15/05/2019 9:30 (GMT+2)
JSD,9600,72,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/JSD%20e6418047aa75490bb474e165f8f91eb8/JSD.jpg,15/05/2019 9:30 (GMT+2)
NHB,9600,18,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/NHB%20df1ca302ef7846d1bfec9cd4c4ca6e03/NHB.jpg,26/06/2019 10:00 (GMT+2)
PL-VEGA,9600,140,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AWX%2070a2c8aecd10441d8c2328a7a3055c74/M-F_pin-to-pin.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/PL-VEGA%20c86314c1e8c545b9b268b40905687cbf/PL-VEGA.jpg,15/05/2019 9:30 (GMT+2)
VT 30,9600,48,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AWX%2070a2c8aecd10441d8c2328a7a3055c74/M-F_pin-to-pin.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/VT%2030%204f9f06262c4c415c89e4e9d41eca5d45/VT_30.jpg,15/05/2019 9:30 (GMT+2)
W100,9600,18,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AWX%2070a2c8aecd10441d8c2328a7a3055c74/M-F_pin-to-pin.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/W100%2034a4ef6abb5c401a86797a60df8e49f5/W100.jpg,15/01/2020 16:30 (GMT+1)
W200,9600,20,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/W200%206ac75909402a4f1d9a4b326f3691aecd/W200.jpg,21/10/2020 11:45 (GMT+2)
W200C,9600,75,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/W200C%203e45bceb15cd41b1890c4afc5fcc30b7/W200CVisore-400X400.jpg,21/10/2020 11:45 (GMT+2)
WB,9600,18,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/WB%202c9d6a452d024c3abd0efeb96cad3ede/F-F_custom.jpg,4 PIN MASCHIO,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/WB%202c9d6a452d024c3abd0efeb96cad3ede/WB.jpg,29/10/2020 12:00 (GMT+1)
WBA 300,9600,504,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AWX%2070a2c8aecd10441d8c2328a7a3055c74/M-F_pin-to-pin.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/WBA%20300%2071a09267481548ac8f3167a879f27234/WBA_300.jpg,15/05/2019 9:30 (GMT+2)
WBA 300 BT,,"Standard (Italian) = 995 bytes / 964 / 931
Athletic (Italian) = 809 bytes
Standard (English) = 992 bytes
Athletic (English) = 806 bytes",,,BLUETOOTH BLE,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/WBA%20300%20BT%20fba53fede25f4babbe208119906aedba/WBA_300.jpg,31/01/2020 11:00 (GMT+1)
WJ,9600,20,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/ACL%20f9eb8bba31d24c04bd49ec41bb5e1645/M-F_invertito.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/WJ%208b0e2cf813ae4ddaa2de42e6ef268deb/WJ.jpg,22/10/2020 10:30 (GMT+2)
WX,9600,80,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AWX%2070a2c8aecd10441d8c2328a7a3055c74/M-F_pin-to-pin.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/WX%2046f2b0b51723482fb399a09aacba1028/WX.jpg,15/05/2019 9:30 (GMT+2)
WXC,9600,107,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AWX%2070a2c8aecd10441d8c2328a7a3055c74/M-F_pin-to-pin.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/WXC%208c179136e2ce4f6aaaafda3083b1e5f8/WXC.jpg,12/05/2020 14:30 (GMT+2)
WXs,9600,80,,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/AWX%2070a2c8aecd10441d8c2328a7a3055c74/M-F_pin-to-pin.jpg,DB9 FEMMINA,Protocolli%20di%20comunicazione%20ff78f34302354e16828c08a08ca10d98/Protocolli%20di%20comunicazione%2062678d6d01bb4c878abb49787061d3e7/WXs%20b0f8cf5c0ee6422aa998519edb9cfe28/indicatore-wxs.jpg,15/05/2019 9:30 (GMT+2)
,,,,,,,